key,fare_amount
0,5.79
0,5.88
0,7.18
0,8.49
0,7.0
0,5.79
0,9.53
0,28.15
0,38.99
0,5.56
0,9.16
0,7.2
0,23.96
0,5.91
0,6.89
0,7.68
0,5.67
0,10.6
0,7.96
0,6.34
0,11.94
0,6.6
0,24.17
0,6.61
0,5.9
0,5.8
0,5.91
0,6.89
0,5.73
0,6.44
0,6.49
0,8.09
0,12.66
0,9.46
0,38.87
0,6.64
0,9.06
0,23.05
0,11.29
0,8.37
0,9.94
0,23.07
0,9.06
0,7.71
0,11.26
0,7.05
0,6.35
0,5.4
0,14.71
0,35.89
0,7.76
0,10.55
0,7.13
0,28.86
0,9.02
0,8.74
0,27.96
0,7.23
0,14.61
0,9.19
0,43.48
0,11.04
0,25.36
0,9.64
0,22.11
0,7.77
0,6.03
0,6.03
0,8.09
0,26.95
0,7.99
0,8.26
0,7.62
0,10.0
0,5.17
0,5.29
0,5.06
0,5.37
0,10.32
0,8.44
0,5.87
0,7.61
0,11.72
0,10.83
0,7.49
0,7.54
0,10.7
0,9.25
0,9.41
0,32.62
0,5.88
0,7.03
0,5.68
0,9.29
0,6.07
0,6.82
0,18.42
0,13.62
0,7.46
0,8.19
0,6.26
0,9.57
0,7.0
0,6.73
0,6.26
0,14.69
0,21.88
0,7.17
0,6.39
0,8.21
0,19.07
0,9.45
0,7.73
0,16.85
0,9.42
0,10.85
0,7.15
0,6.74
0,20.38
0,15.17
0,7.96
0,13.8
0,14.08
0,5.68
0,9.01
0,5.95
0,8.87
0,6.38
0,8.3
0,10.42
0,7.2
0,6.32
0,14.86
0,8.09
0,13.36
0,6.48
0,5.59
0,7.88
0,9.21
0,7.91
0,9.88
0,6.57
0,7.55
0,6.43
0,18.71
0,6.43
0,6.12
0,5.55
0,8.77
0,19.71
0,9.83
0,7.64
0,5.57
0,8.63
0,5.95
0,7.76
0,7.41
0,8.12
0,9.06
0,7.04
0,5.22
0,7.71
0,6.89
0,7.44
0,5.59
0,8.37
0,5.97
0,27.55
0,23.58
0,18.36
0,7.46
0,4.37
0,19.52
0,5.37
0,5.3
0,12.01
0,8.68
0,7.91
0,7.54
0,18.78
0,13.85
0,7.19
0,9.89
0,5.56
0,14.83
0,6.04
0,7.79
0,7.36
0,19.37
0,7.69
0,10.17
0,8.34
0,12.56
0,9.48
0,13.59
0,11.6
0,22.33
0,9.98
0,8.68
0,7.15
0,19.23
0,6.94
0,7.02
0,9.06
0,10.03
0,11.33
0,4.88
0,5.88
0,7.72
0,5.9
0,8.0
0,5.98
0,5.82
0,6.21
0,7.51
0,5.45
0,8.93
0,9.01
0,6.68
0,9.48
0,7.18
0,6.86
0,6.3
0,10.2
0,10.73
0,11.09
0,8.16
0,8.14
0,8.27
0,17.41
0,32.38
0,8.35
0,20.56
0,14.93
0,13.62
0,10.42
0,9.9
0,8.43
0,9.88
0,8.21
0,8.0
0,7.73
0,11.14
0,6.95
0,44.85
0,8.03
0,8.02
0,8.11
0,7.93
0,8.15
0,11.99
0,6.89
0,22.14
0,6.94
0,10.87
0,14.71
0,7.86
0,7.88
0,6.91
0,8.23
0,7.24
0,8.46
0,14.5
0,8.73
0,7.09
0,8.84
0,28.97
0,6.27
0,8.07
0,7.68
0,12.73
0,9.7
0,7.39
0,5.61
0,6.01
0,7.16
0,23.45
0,61.5
0,28.17
0,7.56
0,16.14
0,6.36
0,8.05
0,30.01
0,7.69
0,27.52
0,5.52
0,11.04
0,17.31
0,10.5
0,7.59
0,19.56
0,13.83
0,6.86
0,11.55
0,20.53
0,17.72
0,9.86
0,7.48
0,5.65
0,6.98
0,10.86
0,7.57
0,7.16
0,7.86
0,11.24
0,6.05
0,7.65
0,18.8
0,7.25
0,6.67
0,12.09
0,8.64
0,7.64
0,25.97
0,9.38
0,10.69
0,13.37
0,6.61
0,6.68
0,6.58
0,9.88
0,25.4
0,14.11
0,11.82
0,6.09
0,7.06
0,28.17
0,7.5
0,18.59
0,5.53
0,13.08
0,9.76
0,12.2
0,6.35
0,5.85
0,13.12
0,15.13
0,23.02
0,8.67
0,6.23
0,9.61
0,23.94
0,6.59
0,9.34
0,8.49
0,9.5
0,15.91
0,11.9
0,8.57
0,11.79
0,7.23
0,8.17
0,8.48
0,42.17
0,7.93
0,12.97
0,9.39
0,12.28
0,6.76
0,9.07
0,8.49
0,42.81
0,10.87
0,12.32
0,11.85
0,11.01
0,9.54
0,13.68
0,16.57
0,8.36
0,19.51
0,19.31
0,14.01
0,8.56
0,8.93
0,17.55
0,8.73
0,7.21
0,7.5
0,30.26
0,11.04
0,11.68
0,8.94
0,17.18
0,7.35
0,8.22
0,12.73
0,8.62
0,8.94
0,26.65
0,9.84
0,12.28
0,11.22
0,27.05
0,13.61
0,8.62
0,12.7
0,7.04
0,8.13
0,6.62
0,11.96
0,7.09
0,8.59
0,8.62
0,8.95
0,22.53
0,7.86
0,7.76
0,7.43
0,8.49
0,17.11
0,9.06
0,7.38
0,7.34
0,6.5
0,7.11
0,18.22
0,8.5
0,7.94
0,11.31
0,7.86
0,20.89
0,7.28
0,7.58
0,7.53
0,8.46
0,7.61
0,11.65
0,10.49
0,7.13
0,6.52
0,6.86
0,5.73
0,11.48
0,10.37
0,7.55
0,10.84
0,7.91
0,9.2
0,10.36
0,8.23
0,11.67
0,10.85
0,14.25
0,8.67
0,11.09
0,9.45
0,9.7
0,8.18
0,11.11
0,8.22
0,8.33
0,21.23
0,7.07
0,7.85
0,9.75
0,12.2
0,9.8
0,19.12
0,9.38
0,14.05
0,11.87
0,8.42
0,7.83
0,7.65
0,10.4
0,7.96
0,7.66
0,7.8
0,8.27
0,7.62
0,11.99
0,10.64
0,8.77
0,14.32
0,11.65
0,11.31
0,8.53
0,7.45
0,8.02
0,22.74
0,10.36
0,27.73
0,7.65
0,7.31
0,8.15
0,12.22
0,19.04
0,36.12
0,37.08
0,7.98
0,5.56
0,6.88
0,30.58
0,5.33
0,6.14
0,11.64
0,10.1
0,8.47
0,14.15
0,6.52
0,5.41
0,21.14
0,8.84
0,16.06
0,7.43
0,7.07
0,10.06
0,11.18
0,7.29
0,37.13
0,8.02
0,5.58
0,7.45
0,6.21
0,11.77
0,10.46
0,6.14
0,38.35
0,7.41
0,7.53
0,6.18
0,28.98
0,11.29
0,5.49
0,7.04
0,7.98
0,8.49
0,13.34
0,6.2
0,6.09
0,6.13
0,6.03
0,14.64
0,17.63
0,7.88
0,13.11
0,9.91
0,6.85
0,5.46
0,12.32
0,8.76
0,7.18
0,7.82
0,6.66
0,26.11
0,7.45
0,5.91
0,11.31
0,6.53
0,8.04
0,7.22
0,15.79
0,5.85
0,7.76
0,8.73
0,7.43
0,6.55
0,6.01
0,13.75
0,9.39
0,7.01
0,7.32
0,7.75
0,6.12
0,6.99
0,5.89
0,7.65
0,6.59
0,6.3
0,20.15
0,6.01
0,7.54
0,14.07
0,8.47
0,6.1
0,7.26
0,19.05
0,9.57
0,7.59
0,26.24
0,6.7
0,10.06
0,9.98
0,7.13
0,7.25
0,8.33
0,6.93
0,6.03
0,5.46
0,8.93
0,8.04
0,7.82
0,10.29
0,6.68
0,6.5
0,6.82
0,9.47
0,8.94
0,6.68
0,6.88
0,10.06
0,7.09
0,12.43
0,8.3
0,9.3
0,6.41
0,16.46
0,7.47
0,8.36
0,9.63
0,11.55
0,12.52
0,10.49
0,6.35
0,17.52
0,10.97
0,6.12
0,8.2
0,9.22
0,21.32
0,8.53
0,9.58
0,7.13
0,6.92
0,-3.93
0,7.49
0,8.67
0,9.11
0,25.85
0,11.09
0,11.19
0,11.52
0,8.75
0,6.59
0,7.31
0,5.8
0,8.27
0,6.38
0,5.79
0,9.24
0,9.0
0,22.96
0,5.73
0,5.16
0,7.22
0,10.78
0,6.55
0,6.83
0,41.48
0,10.72
0,9.26
0,6.72
0,10.0
0,6.32
0,12.52
0,7.05
0,24.23
0,7.96
0,7.76
0,16.49
0,10.63
0,34.61
0,8.98
0,7.65
0,6.05
0,6.96
0,10.52
0,21.78
0,10.25
0,9.47
0,6.97
0,7.45
0,9.99
0,8.89
0,14.5
0,6.97
0,8.26
0,7.28
0,8.63
0,26.43
0,9.18
0,12.47
0,8.82
0,7.13
0,8.37
0,6.34
0,7.55
0,12.6
0,18.06
0,14.4
0,26.71
0,17.68
0,7.78
0,8.19
0,15.48
0,31.77
0,8.65
0,7.98
0,19.15
0,31.75
0,12.44
0,25.65
0,8.59
0,8.43
0,8.13
0,8.58
0,20.64
0,6.84
0,10.03
0,10.68
0,8.21
0,7.0
0,7.42
0,24.42
0,14.43
0,7.7
0,25.42
0,14.94
0,8.34
0,14.55
0,31.36
0,9.77
0,10.8
0,32.19
0,7.9
0,5.73
0,8.3
0,8.79
0,40.29
0,6.14
0,8.66
0,27.25
0,27.45
0,8.96
0,9.01
0,9.11
0,9.19
0,4.52
0,5.02
0,8.01
0,13.87
0,7.88
0,7.1
0,6.81
0,8.65
0,7.42
0,11.13
0,9.06
0,13.94
0,7.26
0,12.95
0,10.94
0,16.29
0,7.1
0,7.16
0,7.98
0,14.6
0,28.55
0,9.22
0,7.15
0,8.51
0,10.14
0,7.39
0,13.04
0,10.33
0,9.64
0,15.89
0,7.19
0,8.28
0,11.84
0,48.24
0,15.96
0,12.74
0,8.79
0,7.4
0,11.94
0,9.4
0,9.37
0,44.19
0,11.33
0,10.12
0,22.43
0,17.91
0,22.05
0,11.28
0,18.11
0,19.3
0,9.06
0,5.59
0,12.34
0,6.85
0,7.35
0,26.66
0,41.17
0,6.68
0,10.14
0,9.53
0,5.64
0,5.6
0,7.82
0,8.12
0,7.37
0,24.57
0,7.19
0,6.14
0,20.67
0,5.99
0,11.21
0,10.26
0,20.89
0,6.1
0,6.67
0,16.35
0,5.48
0,10.4
0,5.61
0,12.62
0,8.45
0,5.93
0,11.11
0,7.23
0,7.92
0,6.12
0,9.68
0,7.07
0,7.05
0,5.95
0,16.8
0,8.89
0,14.08
0,13.2
0,29.24
0,6.53
0,10.25
0,7.86
0,6.96
0,6.44
0,14.22
0,14.41
0,16.46
0,8.63
0,17.64
0,8.74
0,7.74
0,21.66
0,6.3
0,8.43
0,21.16
0,8.78
0,6.9
0,4.82
0,10.68
0,6.69
0,8.06
0,13.84
0,5.75
0,11.85
0,14.32
0,8.67
0,7.76
0,13.64
0,18.8
0,8.13
0,53.76
0,27.4
0,9.83
0,8.7
0,16.16
0,10.39
0,8.81
0,9.8
0,14.08
0,14.17
0,7.67
0,6.97
0,6.64
0,9.41
0,6.21
0,10.5
0,6.44
0,5.38
0,25.4
0,11.55
0,6.03
0,9.35
0,9.02
0,6.58
0,20.98
0,13.21
0,8.08
0,16.65
0,7.25
0,5.6
0,5.89
0,9.13
0,22.2
0,6.21
0,9.69
0,9.71
0,20.13
0,12.41
0,6.78
0,8.53
0,7.31
0,15.92
0,10.55
0,6.49
0,6.88
0,7.83
0,9.02
0,10.24
0,7.87
0,6.94
0,9.13
0,8.15
0,7.9
0,24.8
0,8.2
0,7.91
0,5.9
0,7.89
0,7.97
0,20.89
0,39.62
0,16.3
0,7.14
0,8.41
0,9.73
0,6.37
0,7.6
0,7.9
0,6.69
0,9.56
0,8.07
0,6.9
0,8.46
0,8.19
0,8.6
0,11.99
0,7.87
0,6.2
0,6.39
0,6.76
0,5.21
0,9.31
0,7.46
0,7.94
0,8.73
0,23.83
0,10.68
0,6.6
0,11.32
0,19.23
0,37.37
0,12.02
0,8.48
0,8.21
0,9.66
0,14.91
0,7.47
0,9.76
0,11.31
0,9.24
0,47.06
0,7.68
0,6.03
0,16.07
0,8.96
0,8.4
0,5.98
0,25.58
0,13.66
0,5.39
0,9.99
0,8.82
0,10.75
0,5.26
0,6.3
0,7.36
0,6.17
0,5.86
0,6.2
0,10.43
0,11.54
0,6.24
0,7.03
0,8.19
0,9.39
0,8.97
0,10.19
0,9.46
0,9.57
0,31.05
0,9.9
0,26.33
0,5.03
0,8.2
0,7.32
0,39.27
0,8.64
0,5.8
0,7.76
0,6.11
0,12.99
0,10.35
0,8.07
0,9.33
0,22.49
0,7.38
0,5.5
0,14.53
0,14.22
0,7.92
0,22.94
0,7.57
0,7.79
0,7.78
0,8.23
0,11.1
0,6.49
0,14.86
0,7.7
0,7.42
0,8.02
0,8.16
0,6.1
0,8.14
0,6.9
0,10.06
0,6.2
0,14.32
0,7.24
0,8.28
0,10.99
0,17.85
0,7.37
0,7.81
0,10.82
0,8.08
0,8.2
0,6.2
0,37.14
0,11.59
0,8.59
0,6.96
0,7.35
0,7.65
0,26.97
0,8.36
0,7.16
0,19.71
0,5.62
0,7.74
0,8.88
0,8.47
0,12.97
0,6.38
0,6.01
0,7.84
0,6.17
0,11.45
0,10.53
0,8.7
0,5.85
0,7.72
0,11.73
0,10.88
0,5.74
0,7.98
0,6.98
0,5.35
0,7.52
0,8.0
0,36.46
0,7.43
0,7.29
0,9.1
0,27.88
0,9.69
0,8.12
0,10.63
0,9.64
0,11.3
0,7.81
0,7.14
0,6.99
0,6.15
0,16.52
0,11.33
0,6.68
0,15.04
0,25.77
0,6.1
0,6.62
0,46.93
0,8.57
0,24.95
0,7.91
0,12.28
0,9.07
0,8.33
0,15.81
0,7.77
0,7.12
0,13.96
0,7.48
0,7.2
0,7.45
0,11.64
0,25.51
0,12.14
0,12.52
0,23.67
0,8.25
0,12.4
0,9.15
0,19.74
0,10.57
0,14.26
0,7.88
0,10.86
0,8.57
0,5.97
0,33.51
0,6.58
0,5.93
0,8.16
0,14.8
0,10.85
0,10.03
0,10.71
0,11.95
0,8.36
0,7.23
0,23.63
0,6.41
0,7.33
0,8.07
0,5.66
0,8.91
0,11.2
0,10.53
0,7.3
0,7.34
0,11.16
0,13.57
0,11.33
0,7.28
0,6.37
0,5.49
0,6.88
0,23.79
0,7.58
0,7.29
0,11.93
0,9.91
0,8.33
0,7.29
0,13.82
0,13.6
0,6.33
0,27.89
0,8.15
0,19.92
0,23.57
0,5.01
0,5.59
0,7.9
0,12.93
0,35.43
0,10.61
0,10.59
0,6.72
0,6.51
0,6.57
0,14.33
0,8.28
0,10.2
0,31.24
0,43.37
0,7.63
0,5.61
0,7.71
0,7.89
0,7.59
0,6.63
0,10.1
0,15.19
0,9.69
0,9.35
0,7.26
0,6.04
0,12.38
0,27.0
0,11.7
0,8.06
0,8.65
0,18.06
0,36.99
0,6.58
0,11.12
0,25.47
0,7.9
0,7.61
0,18.87
0,7.46
0,8.21
0,9.9
0,7.22
0,8.94
0,15.92
0,10.28
0,7.28
0,21.88
0,9.67
0,7.39
0,24.21
0,8.18
0,7.24
0,7.52
0,7.07
0,8.85
0,9.1
0,7.77
0,17.15
0,7.34
0,20.61
0,5.64
0,8.84
0,5.63
0,7.1
0,7.82
0,5.55
0,14.99
0,8.66
0,10.97
0,10.84
0,11.55
0,26.84
0,11.51
0,12.0
0,7.91
0,6.79
0,8.71
0,11.04
0,11.39
0,5.76
0,6.64
0,14.8
0,31.0
0,35.31
0,38.73
0,9.07
0,7.07
0,9.66
0,38.81
0,6.73
0,36.31
0,11.97
0,9.85
0,6.43
0,45.27
0,9.38
0,25.29
0,11.16
0,8.91
0,11.43
0,7.4
0,7.2
0,10.44
0,28.32
0,11.6
0,7.15
0,7.32
0,5.77
0,8.06
0,7.4
0,6.33
0,10.73
0,9.49
0,7.36
0,13.48
0,5.84
0,11.35
0,8.06
0,7.59
0,10.73
0,6.06
0,7.68
0,7.61
0,10.59
0,9.24
0,6.32
0,7.0
0,8.47
0,5.26
0,17.43
0,8.47
0,9.6
0,13.09
0,24.88
0,7.49
0,7.22
0,7.46
0,10.1
0,6.44
0,7.95
0,6.17
0,6.72
0,11.48
0,7.27
0,11.53
0,6.7
0,6.4
0,41.44
0,6.73
0,9.97
0,5.13
0,13.43
0,7.55
0,7.56
0,29.66
0,6.56
0,15.02
0,8.73
0,6.35
0,38.72
0,5.4
0,7.68
0,15.39
0,8.17
0,6.16
0,8.56
0,13.79
0,8.22
0,7.51
0,13.83
0,28.61
0,15.49
0,7.93
0,6.46
0,5.98
0,5.99
0,6.09
0,10.28
0,7.53
0,7.2
0,36.06
0,7.65
0,7.58
0,24.22
0,10.54
0,12.01
0,8.82
0,8.56
0,8.52
0,7.48
0,6.96
0,17.63
0,8.67
0,6.39
0,6.28
0,7.77
0,9.06
0,6.32
0,6.64
0,6.95
0,14.94
0,8.85
0,9.61
0,5.64
0,6.81
0,7.92
0,9.12
0,5.68
0,8.71
0,20.91
0,7.29
0,15.14
0,6.92
0,7.46
0,8.9
0,23.28
0,5.57
0,8.69
0,17.75
0,6.64
0,-0.12
0,7.46
0,41.09
0,9.55
0,8.88
0,8.96
0,6.33
0,7.55
0,8.72
0,8.54
0,45.81
0,7.06
0,11.02
0,17.99
0,10.7
0,46.01
0,8.06
0,7.74
0,6.96
0,7.84
0,5.95
0,7.82
0,16.52
0,21.83
0,7.85
0,10.32
0,12.35
0,10.66
0,13.66
0,9.07
0,6.66
0,8.55
0,11.61
0,5.54
0,9.26
0,6.12
0,9.44
0,5.94
0,19.16
0,7.34
0,5.57
0,36.34
0,5.6
0,5.5
0,5.76
0,5.36
0,10.08
0,8.25
0,7.35
0,6.6
0,6.84
0,14.21
0,10.57
0,9.32
0,6.3
0,8.24
0,7.01
0,17.13
0,7.04
0,8.99
0,7.06
0,11.67
0,43.81
0,7.16
0,32.58
0,11.34
0,20.3
0,16.13
0,7.74
0,18.88
0,22.93
0,15.08
0,6.76
0,7.07
0,10.08
0,17.04
0,6.34
0,8.44
0,7.87
0,6.39
0,6.34
0,7.37
0,10.53
0,11.65
0,7.73
0,6.13
0,12.33
0,8.39
0,5.29
0,7.22
0,8.89
0,6.32
0,6.75
0,13.01
0,6.0
0,6.6
0,7.93
0,9.51
0,6.23
0,9.71
0,5.9
0,17.82
0,20.48
0,13.08
0,6.87
0,10.16
0,6.93
0,8.45
0,7.41
0,18.78
0,12.54
0,11.1
0,10.21
0,34.6
0,6.11
0,7.75
0,7.19
0,13.21
0,8.38
0,9.97
0,9.63
0,7.88
0,13.96
0,12.05
0,16.12
0,5.7
0,9.83
0,7.87
0,6.1
0,9.35
0,8.47
0,7.36
0,9.2
0,6.49
0,19.5
0,6.16
0,5.22
0,7.23
0,28.62
0,5.55
0,11.34
0,12.32
0,20.16
0,8.22
0,5.36
0,9.56
0,10.92
0,5.15
0,4.62
0,7.07
0,8.26
0,16.02
0,33.3
0,25.17
0,9.41
0,6.56
0,8.04
0,7.23
0,19.47
0,9.76
0,15.39
0,6.94
0,18.03
0,10.16
0,7.73
0,9.27
0,11.06
0,9.49
0,17.0
0,12.75
0,9.89
0,14.91
0,7.49
0,7.78
0,10.24
0,7.46
0,10.4
0,9.13
0,7.73
0,34.04
0,6.92
0,9.09
0,7.2
0,6.47
0,8.3
0,30.2
0,19.46
0,8.02
0,6.81
0,7.18
0,8.98
0,7.58
0,10.79
0,6.07
0,9.36
0,9.65
0,10.97
0,8.03
0,9.28
0,7.86
0,12.87
0,8.22
0,18.92
0,7.7
0,11.32
0,11.11
0,7.39
0,8.56
0,8.99
0,9.01
0,14.32
0,9.34
0,36.9
0,26.91
0,7.41
0,5.31
0,6.99
0,8.7
0,14.98
0,9.93
0,10.66
0,27.04
0,6.41
0,7.39
0,8.8
0,7.58
0,10.34
0,9.95
0,7.98
0,8.84
0,7.33
0,16.57
0,6.51
0,6.76
0,7.06
0,7.95
0,6.3
0,13.69
0,8.52
0,9.14
0,6.82
0,6.75
0,9.77
0,8.08
0,17.14
0,8.1
0,9.56
0,6.34
0,7.27
0,11.95
0,11.66
0,4.8
0,8.68
0,7.73
0,6.49
0,12.83
0,9.02
0,8.12
0,10.61
0,8.75
0,6.26
0,14.94
0,10.49
0,6.92
0,22.16
0,12.09
0,8.26
0,11.42
0,7.81
0,13.06
0,10.85
0,13.45
0,9.14
0,9.47
0,7.99
0,8.32
0,39.41
0,7.44
0,12.5
0,7.35
0,8.54
0,9.23
0,10.17
0,8.61
0,8.06
0,7.12
0,6.75
0,7.27
0,6.0
0,12.04
0,9.98
0,6.24
0,6.99
0,8.49
0,13.76
0,7.1
0,27.11
0,11.04
0,12.03
0,8.77
0,8.09
0,11.65
0,9.28
0,10.07
0,8.36
0,8.05
0,28.81
0,6.04
0,8.21
0,6.8
0,39.62
0,11.47
0,7.43
0,6.82
0,9.38
0,5.95
0,8.7
0,7.19
0,5.89
0,8.54
0,9.53
0,8.73
0,10.48
0,8.22
0,8.68
0,6.85
0,9.25
0,12.73
0,6.49
0,7.37
0,5.67
0,24.52
0,8.49
0,6.32
0,32.25
0,7.33
0,5.81
0,6.55
0,16.15
0,12.82
0,8.71
0,8.83
0,7.26
0,35.7
0,6.76
0,7.28
0,27.92
0,7.86
0,7.05
0,7.58
0,6.54
0,6.66
0,6.15
0,15.1
0,8.54
0,14.83
0,37.33
0,12.83
0,21.66
0,5.85
0,7.38
0,11.27
0,6.03
0,20.33
0,6.03
0,14.02
0,14.61
0,7.25
0,8.79
0,9.65
0,10.13
0,8.47
0,10.98
0,12.22
0,11.02
0,8.59
0,7.57
0,7.47
0,8.9
0,8.71
0,17.52
0,5.16
0,19.35
0,9.05
0,6.44
0,9.49
0,6.48
0,8.58
0,12.7
0,20.23
0,12.32
0,8.85
0,7.17
0,7.52
0,11.31
0,10.21
0,18.63
0,24.11
0,8.5
0,12.72
0,10.78
0,7.44
0,8.24
0,30.05
0,8.77
0,8.38
0,6.21
0,9.46
0,34.11
0,7.52
0,5.23
0,7.86
0,10.23
0,6.32
0,6.95
0,8.23
0,27.62
0,33.2
0,7.38
0,6.06
0,7.9
0,9.27
0,15.72
0,6.35
0,7.26
0,7.74
0,6.45
0,6.61
0,6.89
0,15.4
0,23.87
0,6.81
0,5.76
0,11.9
0,9.38
0,6.48
0,12.32
0,15.04
0,9.48
0,44.35
0,8.64
0,11.06
0,5.63
0,6.81
0,47.13
0,9.51
0,11.49
0,6.84
0,6.79
0,12.74
0,10.11
0,17.43
0,5.95
0,8.4
0,8.8
0,7.21
0,9.49
0,11.41
0,8.9
0,9.28
0,15.01
0,7.31
0,8.35
0,12.37
0,14.46
0,8.11
0,26.93
0,9.93
0,41.54
0,8.95
0,12.13
0,20.64
0,8.88
0,13.94
0,10.83
0,7.99
0,13.67
0,6.6
0,7.61
0,17.37
0,7.15
0,12.14
0,6.45
0,6.53
0,6.52
0,6.77
0,8.77
0,6.48
0,5.85
0,22.15
0,27.19
0,12.38
0,7.34
0,24.76
0,9.93
0,49.13
0,9.11
0,8.05
0,6.39
0,7.71
0,5.72
0,8.94
0,18.18
0,5.78
0,7.16
0,26.02
0,12.05
0,7.71
0,6.69
0,54.61
0,5.41
0,28.36
0,13.7
0,17.7
0,10.43
0,16.61
0,15.76
0,11.02
0,8.93
0,15.29
0,7.44
0,9.71
0,8.08
0,8.52
0,8.27
0,17.81
0,11.31
0,14.37
0,26.39
0,7.45
0,6.35
0,7.94
0,6.29
0,12.34
0,7.91
0,6.25
0,9.71
0,9.39
0,14.78
0,7.29
0,40.82
0,5.94
0,6.81
0,7.08
0,18.75
0,7.26
0,7.89
0,17.73
0,9.17
0,9.46
0,8.49
0,6.98
0,8.12
0,10.36
0,6.1
0,7.86
0,9.82
0,6.79
0,18.59
0,44.65
0,18.37
0,8.74
0,11.52
0,49.21
0,10.63
0,14.67
0,10.15
0,35.94
0,8.29
0,10.98
0,8.93
0,11.01
0,14.33
0,6.1
0,13.78
0,11.98
0,17.12
0,15.06
0,6.69
0,6.22
0,6.96
0,6.35
0,7.14
0,8.77
0,10.71
0,7.66
0,15.13
0,8.03
0,16.28
0,15.49
0,7.44
0,7.55
0,6.26
0,8.2
0,31.12
0,17.82
0,9.74
0,7.64
0,6.41
0,17.92
0,5.12
0,6.15
0,26.27
0,13.48
0,6.0
0,9.68
0,7.19
0,7.69
0,9.91
0,9.52
0,7.2
0,7.42
0,9.39
0,5.86
0,6.86
0,13.48
0,8.29
0,6.71
0,11.11
0,7.93
0,9.42
0,8.04
0,8.58
0,7.76
0,12.63
0,7.25
0,9.71
0,12.1
0,7.61
0,31.73
0,13.01
0,7.26
0,8.13
0,8.21
0,27.35
0,7.22
0,8.45
0,12.76
0,9.09
0,9.74
0,6.37
0,6.0
0,6.07
0,10.39
0,25.08
0,5.81
0,11.21
0,9.04
0,7.37
0,5.45
0,7.01
0,17.45
0,14.44
0,7.05
0,11.16
0,9.93
0,43.88
0,8.86
0,5.79
0,8.06
0,9.91
0,8.84
0,6.41
0,12.51
0,7.62
0,8.97
0,43.09
0,13.35
0,7.43
0,8.15
0,9.72
0,10.27
0,29.67
0,9.15
0,6.69
0,7.59
0,16.55
0,16.07
0,6.25
0,24.54
0,10.19
0,13.73
0,7.03
0,33.16
0,17.85
0,5.18
0,7.7
0,8.42
0,8.85
0,37.14
0,6.5
0,19.83
0,10.57
0,7.1
0,6.59
0,6.93
0,9.81
0,6.43
0,5.6
0,5.11
0,9.28
0,5.88
0,7.01
0,5.71
0,6.16
0,5.37
0,6.38
0,6.36
0,8.79
0,6.64
0,5.62
0,9.06
0,10.84
0,6.09
0,5.72
0,6.87
0,7.58
0,7.17
0,7.12
0,21.34
0,5.66
0,6.14
0,12.63
0,5.24
0,5.31
0,6.37
0,5.53
0,5.94
0,6.36
0,6.35
0,8.42
0,6.27
0,9.89
0,22.1
0,6.96
0,7.97
0,5.34
0,6.52
0,12.71
0,10.36
0,12.48
0,6.74
0,7.85
0,12.03
0,23.86
0,6.07
0,7.4
0,15.23
0,6.86
0,5.98
0,6.46
0,7.1
0,32.44
0,10.99
0,6.32
0,6.98
0,10.87
0,9.8
0,19.29
0,45.11
0,8.75
0,9.5
0,7.0
0,10.66
0,5.32
0,5.84
0,5.6
0,6.54
0,5.83
0,11.69
0,6.33
0,6.17
0,8.28
0,7.71
0,16.04
0,6.33
0,12.72
0,10.17
0,8.44
0,8.01
0,12.73
0,7.94
0,11.27
0,9.17
0,7.74
0,40.57
0,7.13
0,6.66
0,6.19
0,10.16
0,6.08
0,7.62
0,10.88
0,12.18
0,8.3
0,9.04
0,11.87
0,8.1
0,10.16
0,8.46
0,5.73
0,5.99
0,10.28
0,10.74
0,11.75
0,14.31
0,5.56
0,7.56
0,6.87
0,34.51
0,7.19
0,7.13
0,6.95
0,5.57
0,6.17
0,9.34
0,14.99
0,23.52
0,7.0
0,9.48
0,5.75
0,7.61
0,7.43
0,36.85
0,18.1
0,7.7
0,22.02
0,7.89
0,9.38
0,6.89
0,7.91
0,6.86
0,6.41
0,16.46
0,8.33
0,5.66
0,8.75
0,12.96
0,6.43
0,7.96
0,5.39
0,6.42
0,6.33
0,9.4
0,6.06
0,6.79
0,7.61
0,11.11
0,7.23
0,8.56
0,32.82
0,11.04
0,16.54
0,7.0
0,24.81
0,13.54
0,27.28
0,6.5
0,6.91
0,8.06
0,13.3
0,8.91
0,15.26
0,10.21
0,6.78
0,19.45
0,7.18
0,8.03
0,7.46
0,27.15
0,7.65
0,5.38
0,6.12
0,10.07
0,12.88
0,6.73
0,7.38
0,14.98
0,22.01
0,19.61
0,33.73
0,9.05
0,13.59
0,6.07
0,4.83
0,5.38
0,6.27
0,5.99
0,6.65
0,5.46
0,5.13
0,12.03
0,5.21
0,5.95
0,6.22
0,15.23
0,11.33
0,18.26
0,11.94
0,5.88
0,35.57
0,6.21
0,7.93
0,23.67
0,11.96
0,6.85
0,8.23
0,11.81
0,10.47
0,6.98
0,12.99
0,8.77
0,36.35
0,6.45
0,17.75
0,30.33
0,46.71
0,8.54
0,8.65
0,7.8
0,18.88
0,15.5
0,8.97
0,8.07
0,32.66
0,11.17
0,12.12
0,6.89
0,7.41
0,7.9
0,10.54
0,7.05
0,7.37
0,7.19
0,11.14
0,6.69
0,11.24
0,6.84
0,11.0
0,6.2
0,7.59
0,6.83
